basename	total	parsed	mapped	counted	used
HFF_r1_Dam1	91718203	71439369	71008787	58080760	57669349
HFF_r1_Dam10	90448718	71940599	71511174	59548441	59141208
HFF_r1_Dam100	4909337	3884357	3862132	3233115	3209092
HFF_r1_LMNB1	80262004	60363792	59914428	50126534	49684030
HFF_r1_4xAP3	75645360	59306854	58946075	49853726	49482768
HFF_r1_CENPB	5419606	4333874	4252590	3487214	3428468
HFF_r2_Dam2	47896717	39237338	38983542	32618550	32372264
HFF_r2_Dam10	48083107	39923369	39670513	33511129	33245298
HFF_r2_LMNB1	34733529	27615285	27379508	23021533	22780659
HFF_r2_4xAP3	36835975	28768401	28575624	24103247	23892580
HFF_r3_Dam10	39630962	34553906	33863943	27675917	27437079
HFF_r3_4xAP3	27396495	22988056	22503407	18743249	18576856
H1_r1_Dam2	37141366	29805622	29615383	24691619	24517040
H1_r1_Dam10	32446332	25086755	24920886	21017191	20855259
H1_r1_LMNB1	28228164	13264019	13121186	11446067	11362088
H1_r1_4xAP3	25066956	18780783	18625018	15291388	15162107
H1_r2_Dam10	35336386	25864688	25707115	21620288	21452098
H1_r2_LMNB1	41171503	32571522	32385310	28123655	27909390
H1_r2_Dam100	49955561	41157888	40296620	15015184	14875507
H1_r2_4xAP3	54458280	45551637	44502177	35584661	35240023
H1_r3_Dam10	41839435	36311509	36098856	29578252	29366894
H1_r3_LMNB1	35806693	31208581	31027652	26487473	26287948
K562_r1_Dam16	151199123	129092215	128167361	104043292	103324753
K562_r1_Dam256	48212132	42533610	42193678	34416104	34177263
K562_r1_LMNB1	155424096	131444594	130557998	107767764	106936598
K562_r1_4xAP3	60753743	53773517	53339938	43176981	42850543
K562_r2_Dam10_1	52144862	41774676	41097755	32667567	32392558
K562_r2_Dam10_2	48879218	40662422	39955699	31854175	31572536
K562_r2_Dam100	45110702	36742634	36113450	28689876	28400494
K562_r2_LMNB1	45772953	37565584	36900272	30110436	29818215
K562_r2_4xAP3	51046819	42511301	41691287	33299326	32880506
K562_r2_CENPB	52043350	42671797	41936192	20923517	20557997
K562_r3_Dam100	47309528	38112794	37471246	29838842	29547866
K562_r3_CENPB	52274069	40880155	40082809	17286710	16797962
K562_r3_Dam10	60629006	47391309	46556444	36164718	35875493
K562_r3_4xAP3	57026029	44002358	43153072	33918529	33587486
K562_r4_Dam10	31479394	22887399	22473638	18095350	17913133
K562_r4_4xAP3	35486171	26811850	26180188	20884494	20532395
Hap1_r1_Dam10_1	50895924	42808545	42144849	34776406	34515770
Hap1_r1_Dam10_2	52396464	43930890	43216028	35612550	35343967
Hap1_r1_Dam100	47973061	40029912	39407726	32607967	32352732
Hap1_r1_LMNB1	42327726	34797100	34246888	29023081	28752027
Hap1_r1_4xAP3	35619129	28686544	28206730	22853927	22655212
Hap1_r1_CENPB	24767878	20126228	19786129	12170891	12033812
Hap1_r2_Dam10	46186356	37044584	36447038	29972507	29747846
Hap1_r2_LMNB1	51466120	44370794	43645081	36512143	36180645
Hap1_r2_Dam10_2	42571539	32458206	31850808	26254482	26039670
Hap1_r2_4xAP3	34760485	24290075	23570038	19158458	18963460
Hap1_r3_Dam10	25076883	19220631	18784091	14371306	14270022
Hap1_r3_4xAP3	30502220	23699716	23150183	18137501	18001885
HCT116_r1_Dam10_1	49252650	40524501	39873853	32149590	31854896
HCT116_r1_Dam10_2	44869166	34291155	33743086	26915659	26665316
HCT116_r1_Dam100	51942909	43222902	42447376	34203148	33577474
HCT116_r1_LMNB1	48089961	40133063	39487749	33075203	32639937
HCT116_r1_4xAP3	44469967	35084512	34452351	27674115	26816614
HCT116_r1_CENPB	24387819	19411187	19080679	13757457	13150854
HCT116_r2_Dam10_1	50932947	40030351	39415115	31251554	30962554
HCT116_r2_Dam10_2	49869944	39344882	38719790	30768452	30464902
HCT116_r2_Dam100	52663446	42575598	41853465	33584091	32969769
HCT116_r2_LMNB1	49894865	40839896	40191949	33818099	33409081
HCT116_r2_4xAP3	45858404	36695443	36068796	28819466	27874027
HCT116_r2_CENPB	26818265	21464780	21105037	15071773	14297329
HCT116_r3_Dam10	50746930	37678518	37061384	29371876	29089517
HCT116_r3_4xAP3	48012314	34964276	34287284	27224070	26610228
RPE_r1_Dam1	52160501	44669908	44393214	35318162	35074530
RPE_r1_Dam10	56926592	49494739	49205428	39730446	39468940
RPE_r1_Dam100	4246109	3751411	3732213	3038564	3018217
RPE_r1_LMNB1	51087379	44397692	44122908	36246213	35998105
RPE_r1_4xAP3	44428425	38821864	38593637	31766864	31551504
RPE_r1_CENPB	2973219	2623088	2604831	2172287	2153099
RPE_r2_Dam10_1	53944617	45686631	44994881	36716538	36453509
RPE_r2_Dam10_2	57061673	48188320	47399512	38886309	38541025
RPE_r2_Dam100	57464853	49362121	48527095	39520963	39232462
RPE_r2_LMNB1	54146355	45718221	45048602	37347502	37068220
RPE_r2_4xAP3	55256262	47371708	46602209	38449118	38154666
RPE_r2_CENPB	32555047	27129870	26678409	20522474	20353632
RPE_r3_Dam10	54383504	41327615	40652170	33211559	32949934
RPE_r3_4xAP3	44683001	32176697	31589596	25840349	25623098
