id	chr	pos	count	state	enriched.pr
230	chr6	3132400	9.5375	2	1
231	chr6	3132600	1.1007	2	0.9072
232	chr6	3132800	4.6019	2	0.8912
272	chr6	3150600	9.8946	2	1
273	chr6	3150800	2.4532	2	0.9994
274	chr6	3151400	188.1796	2	1
1951	chr6	3691200	7.0843	2	0.9819
2049	chr6	3713200	5.5679	2	0.999
2050	chr6	3713400	7.9099	2	1
2051	chr6	3713600	16.2354	2	1
2052	chr6	3713800	9.3443	2	1
2053	chr6	3714000	9.1511	2	1
2054	chr6	3714200	13.7003	2	1
2055	chr6	3714400	15.9602	2	1
2056	chr6	3714600	7.5527	2	1
2057	chr6	3714800	7.0843	2	1
2058	chr6	3715000	15.0234	2	1
2059	chr6	3715200	11.7155	2	1
2060	chr6	3715400	4.7131	2	0.9998
2061	chr6	3715600	2.9216	2	0.9922
2062	chr6	3715800	0.7436	2	0.9818
2063	chr6	3716000	1.8736	2	0.9856
2064	chr6	3716200	6.4227	2	0.9999
2065	chr6	3716400	0.4684	2	0.9813
2066	chr6	3716600	2.4532	2	0.9824
2067	chr6	3716800	5.7611	2	0.9863
2807	chr6	3917800	7.7459	2	1
2808	chr6	3918000	9.5375	2	1
2809	chr6	3918200	9.0691	2	1
2810	chr6	3918400	5.0995	2	1
2811	chr6	3918600	5.0995	2	0.9958
2949	chr6	3953800	4.4379	2	0.9778
2950	chr6	3954000	4.3267	2	0.9989
2951	chr6	3954200	4.7131	2	1
2952	chr6	3954400	7.0843	2	1
4797	chr6	4453200	5.3747	2	0.9207
4798	chr6	4453400	1.5984	2	0.9132
4799	chr6	4453600	2.26	2	0.9226
4800	chr6	4453800	1.8736	2	0.9425
4801	chr6	4454000	4.7131	2	0.9985
4802	chr6	4454200	3.5831	2	0.9996
4803	chr6	4454400	7.7459	2	1
4804	chr6	4454600	8.6827	2	1
4805	chr6	4454800	8.6827	2	1
4806	chr6	4455000	3.1148	2	0.9997
4807	chr6	4455200	5.0995	2	1
4808	chr6	4455400	2.7284	2	0.9995
4809	chr6	4455600	5.4567	2	1
4810	chr6	4455800	5.3747	2	0.9999
4811	chr6	4456000	4.4379	2	0.9676
