id	chr	pos	count	state	enriched.pr
224	chr6	3131200	7	1	0.6492
227	chr6	3131800	6	1	0.7881
228	chr6	3132000	4	1	0.8134
229	chr6	3132200	10	2	1
230	chr6	3132400	17	2	1
231	chr6	3132600	12	2	1
232	chr6	3132800	16	2	1
233	chr6	3133000	13	2	1
234	chr6	3133200	8	1	0.9999
235	chr6	3133400	2	1	0.95
236	chr6	3133600	14	2	1
237	chr6	3133800	8	1	0.9998
238	chr6	3134000	4	1	0.8398
239	chr6	3134200	6	1	0.822
240	chr6	3134400	5	1	0.6512
243	chr6	3141800	12	2	1
244	chr6	3142000	2	1	0.7332
245	chr6	3142200	6	1	0.7473
246	chr6	3142400	5	1	0.6371
272	chr6	3150600	24	2	1
273	chr6	3150800	5	1	0.9938
274	chr6	3151400	200	2	1
899	chr6	3400600	7	1	0.6628
910	chr6	3403000	9	1	0.9946
940	chr6	3410600	9	1	0.9975
941	chr6	3410800	4	1	0.6152
996	chr6	3424200	8	1	0.8453
1083	chr6	3444400	9	1	0.9936
1737	chr6	3637400	8	1	0.848
1865	chr6	3671400	8	1	0.861
1950	chr6	3691000	6	1	0.8492
1951	chr6	3691200	12	2	1
1952	chr6	3691400	6	1	0.9884
1953	chr6	3691600	5	1	0.9373
1954	chr6	3692000	3	1	0.9045
1955	chr6	3692200	9	1	0.9993
2039	chr6	3711200	5	1	0.6162
2040	chr6	3711400	7	1	0.9905
2041	chr6	3711600	7	1	0.9971
2042	chr6	3711800	5	1	0.945
2043	chr6	3712000	3	1	0.9113
2044	chr6	3712200	8	1	0.9999
2045	chr6	3712400	11	1	1
2049	chr6	3713200	11	2	1
2050	chr6	3713400	21	2	1
2051	chr6	3713600	31	2	1
2052	chr6	3713800	18	2	1
2053	chr6	3714000	19	2	1
2054	chr6	3714200	22	2	1
2055	chr6	3714400	28	2	1
2056	chr6	3714600	14	2	1
2057	chr6	3714800	12	2	1
2058	chr6	3715000	24	2	1
2059	chr6	3715200	19	2	1
2060	chr6	3715400	11	2	1
2061	chr6	3715600	7	1	0.9998
2062	chr6	3715800	5	1	0.9936
2063	chr6	3716000	8	1	1
2064	chr6	3716200	11	1	1
2065	chr6	3716400	2	1	0.8978
2066	chr6	3716600	5	1	0.9392
2067	chr6	3716800	10	1	1
2129	chr6	3731600	8	1	0.8426
2396	chr6	3816000	9	1	0.9963
2801	chr6	3916600	8	1	0.9953
2802	chr6	3916800	7	1	0.979
2807	chr6	3917800	13	2	1
2808	chr6	3918000	17	2	1
2809	chr6	3918200	15	2	1
2810	chr6	3918400	9	1	1
2811	chr6	3918600	9	1	1
2944	chr6	3952800	7	1	0.8667
2945	chr6	3953000	4	1	0.8422
2946	chr6	3953200	6	1	0.9102
2947	chr6	3953400	4	1	0.9025
2948	chr6	3953600	6	1	0.9826
2949	chr6	3953800	8	1	1
2950	chr6	3954000	13	2	1
2951	chr6	3954200	11	2	1
2952	chr6	3954400	12	2	1
2955	chr6	3955200	5	1	0.7469
2956	chr6	3955400	8	1	0.9724
3645	chr6	4141000	8	1	0.9892
3646	chr6	4141200	3	1	0.9409
3647	chr6	4141400	8	1	0.9891
3701	chr6	4153800	10	1	0.9999
4158	chr6	4294600	6	1	0.8866
4159	chr6	4294800	6	1	0.9798
4160	chr6	4295000	9	1	0.9998
4165	chr6	4296000	8	1	0.8657
4371	chr6	4352000	6	1	0.7877
4372	chr6	4352200	7	1	0.9198
4373	chr6	4352400	6	1	0.7892
4613	chr6	4407400	10	1	0.9999
4713	chr6	4433800	8	1	0.9099
4734	chr6	4438600	8	1	0.9995
4735	chr6	4438800	7	1	0.9999
4736	chr6	4439000	6	1	0.9989
4737	chr6	4439200	7	1	0.9999
4738	chr6	4439400	9	1	1
4739	chr6	4439600	6	1	0.8465
4795	chr6	4452800	7	1	0.9735
4796	chr6	4453000	5	1	0.9796
4797	chr6	4453200	12	2	1
4798	chr6	4453400	5	1	0.9925
4799	chr6	4453600	6	1	0.9977
4800	chr6	4453800	8	1	1
4801	chr6	4454000	11	2	1
4802	chr6	4454200	8	2	1
4803	chr6	4454400	13	2	1
4804	chr6	4454600	17	2	1
4805	chr6	4454800	17	2	1
4806	chr6	4455000	6	1	0.9989
4807	chr6	4455200	9	1	1
4808	chr6	4455400	8	1	1
4809	chr6	4455600	16	2	1
4810	chr6	4455800	12	2	1
4811	chr6	4456000	8	1	0.999
4849	chr6	4465800	8	1	0.8494
4996	chr6	4500200	8	1	0.9918
4997	chr6	4500400	1	1	0.9571
4998	chr6	4500600	9	1	0.9999
4999	chr6	4500800	2	1	0.8167
5000	chr6	4501000	7	1	0.8447
5013	chr6	4504000	8	1	0.8608
5038	chr6	4510000	9	1	0.9999
5039	chr6	4510200	5	1	0.9932
5040	chr6	4510400	7	1	0.999
5041	chr6	4510600	7	1	0.9815
5094	chr6	4523000	8	1	0.9445
5095	chr6	4523200	1	1	0.6824
5096	chr6	4523600	3	1	0.6776
5097	chr6	4523800	8	1	0.9457
5105	chr6	4525800	8	1	0.9169
5408	chr6	4603000	9	1	0.9997
5409	chr6	4603200	3	1	0.9578
5410	chr6	4603400	11	1	1
5430	chr6	4607800	8	1	0.9969
5431	chr6	4608000	7	1	0.9883
5485	chr6	4620600	10	1	0.9999
5655	chr6	4662000	8	1	0.8499
5755	chr6	4685600	7	1	0.7746
5756	chr6	4685800	6	1	0.7136
5832	chr6	4703800	6	1	0.6433
5833	chr6	4704000	6	1	0.7513
5834	chr6	4704200	2	1	0.7366
5835	chr6	4704400	8	1	0.9997
